InterPad_I	InterPad_V
-2.0497e-10	-3.1000e-02
-3.3124e-10	-3.0000e-02
-3.9438e-10	-2.9000e-02
-2.8915e-10	-2.8000e-02
-4.9960e-10	-2.7000e-02
-1.4184e-10	-2.6000e-02
-4.1542e-10	-2.5000e-02
-3.7333e-10	-2.4000e-02
-3.1020e-10	-2.3000e-02
-3.7333e-10	-2.2000e-02
-2.2602e-10	-2.1000e-02
-2.8915e-10	-2.0000e-02
-1.2079e-10	-1.9000e-02
-3.1020e-10	-1.8000e-02
-6.0483e-10	-1.7000e-02
-3.5229e-10	-1.6000e-02
-2.0497e-10	-1.5000e-02
-3.7333e-10	-1.4000e-02
-3.3124e-10	-1.3000e-02
-2.2602e-10	-1.2000e-02
-9.9746e-11	-1.1000e-02
-2.2602e-10	-1.0000e-02
-1.8393e-10	-9.0000e-03
-2.6811e-10	-8.0000e-03
-2.4706e-10	-7.0000e-03
-1.8393e-10	-6.0000e-03
-2.4706e-10	-5.0000e-03
-2.4706e-10	-4.0000e-03
-1.2079e-10	-3.0000e-03
-3.3124e-10	-2.0000e-03
-1.4184e-10	-1.0000e-03
-1.2079e-10	0.0000e+00
4.7570e-11	1.0000e-03
-1.2079e-10	2.0000e-03
-3.7333e-10	3.0000e-03
-1.2079e-10	4.0000e-03
-1.4184e-10	5.0000e-03
-3.1020e-10	6.0000e-03
-1.2079e-10	7.0000e-03
-2.0497e-10	8.0000e-03
-3.6611e-11	9.0000e-03
-1.6288e-10	1.0000e-02
-2.2602e-10	1.1000e-02
-2.0497e-10	1.2000e-02
-7.8701e-11	1.3000e-02
-2.8915e-10	1.4000e-02
-1.6288e-10	1.5000e-02
2.6524e-11	1.6000e-02
-3.9438e-10	1.7000e-02
-1.4184e-10	1.8000e-02
-1.4184e-10	1.9000e-02
-9.9746e-11	2.0000e-02
-1.8393e-10	2.1000e-02
-1.4184e-10	2.2000e-02
-1.4184e-10	2.3000e-02
1.3175e-10	2.4000e-02
-1.6288e-10	2.5000e-02
-7.8701e-11	2.6000e-02
-1.2079e-10	2.7000e-02
-5.7656e-11	2.8000e-02
-1.5566e-11	2.9000e-02
-3.6611e-11	3.0000e-02
6.8615e-11	3.1000e-02
-9.9746e-11	3.2000e-02
5.4793e-12	3.3000e-02
-3.6611e-11	3.4000e-02
4.7570e-11	3.5000e-02
4.7570e-11	3.6000e-02
-3.6611e-11	3.7000e-02
-9.9746e-11	3.8000e-02
5.4793e-12	3.9000e-02
1.9489e-10	4.0000e-02
2.6524e-11	4.1000e-02
1.7384e-10	4.2000e-02
2.5803e-10	4.3000e-02
-1.2079e-10	4.4000e-02
2.5803e-10	4.5000e-02
8.9660e-11	4.6000e-02
6.8615e-11	4.7000e-02
2.7907e-10	4.8000e-02
2.1593e-10	4.9000e-02
1.7384e-10	5.0000e-02
1.5280e-10	5.1000e-02
1.7384e-10	5.2000e-02
2.1593e-10	5.3000e-02
2.3698e-10	5.4000e-02
8.9660e-11	5.5000e-02
2.1593e-10	5.6000e-02
1.7384e-10	5.7000e-02
1.5280e-10	5.8000e-02
2.5803e-10	5.9000e-02
6.8615e-11	6.0000e-02
1.3175e-10	6.1000e-02
5.4793e-12	6.2000e-02
3.8431e-10	6.3000e-02
-3.6611e-11	6.4000e-02
1.7384e-10	6.5000e-02
1.3175e-10	6.6000e-02
-1.5566e-11	6.7000e-02
1.5280e-10	6.8000e-02
2.1593e-10	6.9000e-02
1.9489e-10	7.0000e-02
1.9489e-10	7.1000e-02
3.2117e-10	7.2000e-02
2.1593e-10	7.3000e-02
-1.8393e-10	7.4000e-02
2.7907e-10	7.5000e-02
1.9489e-10	7.6000e-02
2.3698e-10	7.7000e-02
2.5803e-10	7.8000e-02
3.2117e-10	7.9000e-02
2.5803e-10	8.0000e-02
1.7384e-10	8.1000e-02
1.9489e-10	8.2000e-02
2.6524e-11	8.3000e-02
3.4221e-10	8.4000e-02
4.7570e-11	8.5000e-02
1.7384e-10	8.6000e-02
3.4221e-10	8.7000e-02
4.7570e-11	8.8000e-02
3.4221e-10	8.9000e-02
2.3698e-10	9.0000e-02
3.2117e-10	9.1000e-02
3.8431e-10	9.2000e-02
8.9660e-11	9.3000e-02
6.8615e-11	9.4000e-02
3.2117e-10	9.5000e-02
1.3175e-10	9.6000e-02
1.9489e-10	9.7000e-02
1.7384e-10	9.8000e-02
4.8954e-10	9.9000e-02
3.0012e-10	1.0000e-01
3.4221e-10	1.0100e-01
3.2117e-10	1.0200e-01
2.3698e-10	1.0300e-01
2.1593e-10	1.0400e-01
3.6326e-10	1.0500e-01
4.2640e-10	1.0600e-01
4.2640e-10	1.0700e-01
3.2117e-10	1.0800e-01
2.5803e-10	1.0900e-01
1.9489e-10	1.1000e-01
4.2640e-10	1.1100e-01
4.8954e-10	1.1200e-01
4.0535e-10	1.1300e-01
3.2117e-10	1.1400e-01
3.0012e-10	1.1500e-01
4.8954e-10	1.1600e-01
4.2640e-10	1.1700e-01
3.4221e-10	1.1800e-01
3.6326e-10	1.1900e-01
4.0535e-10	1.2000e-01
5.1058e-10	1.2100e-01
5.3163e-10	1.2200e-01
4.6849e-10	1.2300e-01
3.2117e-10	1.2400e-01
4.4744e-10	1.2500e-01
5.7372e-10	1.2600e-01
3.8431e-10	1.2700e-01
5.9477e-10	1.2800e-01
4.8954e-10	1.2900e-01
3.6326e-10	1.3000e-01
4.8954e-10	1.3100e-01
3.4221e-10	1.3200e-01
5.5268e-10	1.3300e-01
4.2640e-10	1.3400e-01
3.2117e-10	1.3500e-01
3.8431e-10	1.3600e-01
2.7907e-10	1.3700e-01
6.1581e-10	1.3800e-01
