InterPad_I	InterPad_V
1.6385e-07	3.0000e-02
1.6913e-07	3.1000e-02
1.7473e-07	3.2000e-02
1.8048e-07	3.3000e-02
1.8603e-07	3.4000e-02
1.9132e-07	3.5000e-02
1.9645e-07	3.6000e-02
2.0161e-07	3.7000e-02
2.0700e-07	3.8000e-02
2.1245e-07	3.9000e-02
2.1758e-07	4.0000e-02
2.2339e-07	4.1000e-02
2.2878e-07	4.2000e-02
2.3427e-07	4.3000e-02
2.3991e-07	4.4000e-02
2.4568e-07	4.5000e-02
2.5092e-07	4.6000e-02
2.5629e-07	4.7000e-02
2.6199e-07	4.8000e-02
2.6778e-07	4.9000e-02
2.7245e-07	5.0000e-02
2.7763e-07	5.1000e-02
2.8268e-07	5.2000e-02
2.8784e-07	5.3000e-02
2.9348e-07	5.4000e-02
2.9878e-07	5.5000e-02
3.0402e-07	5.6000e-02
3.0924e-07	5.7000e-02
3.1404e-07	5.8000e-02
3.1968e-07	5.9000e-02
3.2465e-07	6.0000e-02
3.2974e-07	6.1000e-02
3.3525e-07	6.2000e-02
3.4003e-07	6.3000e-02
3.4531e-07	6.4000e-02
3.5079e-07	6.5000e-02
3.5571e-07	6.6000e-02
3.6057e-07	6.7000e-02
3.6707e-07	6.8000e-02
3.7198e-07	6.9000e-02
3.7705e-07	7.0000e-02
3.8162e-07	7.1000e-02
3.8741e-07	7.2000e-02
3.9216e-07	7.3000e-02
3.9793e-07	7.4000e-02
4.0258e-07	7.5000e-02
4.0755e-07	7.6000e-02
4.1272e-07	7.7000e-02
4.1805e-07	7.8000e-02
4.2316e-07	7.9000e-02
4.2859e-07	8.0000e-02
4.3417e-07	8.1000e-02
4.3958e-07	8.2000e-02
4.4495e-07	8.3000e-02
4.5029e-07	8.4000e-02
4.5532e-07	8.5000e-02
4.6018e-07	8.6000e-02
4.6456e-07	8.7000e-02
4.6987e-07	8.8000e-02
4.7483e-07	8.9000e-02
4.7906e-07	9.0000e-02
4.8395e-07	9.1000e-02
4.8948e-07	9.2000e-02
4.9422e-07	9.3000e-02
4.9998e-07	9.4000e-02
5.0388e-07	9.5000e-02
5.0918e-07	9.6000e-02
5.1442e-07	9.7000e-02
5.1815e-07	9.8000e-02
5.2334e-07	9.9000e-02
5.2884e-07	1.0000e-01
5.3370e-07	1.0100e-01
5.3921e-07	1.0200e-01
5.4431e-07	1.0300e-01
5.4927e-07	1.0400e-01
5.5315e-07	1.0500e-01
5.5799e-07	1.0600e-01
5.6289e-07	1.0700e-01
5.6748e-07	1.0800e-01
5.7238e-07	1.0900e-01
5.7733e-07	1.1000e-01
5.8238e-07	1.1100e-01
5.8711e-07	1.1200e-01
5.9187e-07	1.1300e-01
5.9743e-07	1.1400e-01
6.0258e-07	1.1500e-01
6.0747e-07	1.1600e-01
6.1218e-07	1.1700e-01
6.1751e-07	1.1800e-01
6.2228e-07	1.1900e-01
6.2679e-07	1.2000e-01
6.3173e-07	1.2100e-01
6.3649e-07	1.2200e-01
6.4061e-07	1.2300e-01
6.4550e-07	1.2400e-01
6.4994e-07	1.2500e-01
6.5396e-07	1.2600e-01
6.5890e-07	1.2700e-01
6.6217e-07	1.2800e-01
6.6699e-07	1.2900e-01
6.7153e-07	1.3000e-01
6.7658e-07	1.3100e-01
6.8111e-07	1.3200e-01
6.8549e-07	1.3300e-01
6.8999e-07	1.3400e-01
6.9422e-07	1.3500e-01
6.9851e-07	1.3600e-01
7.0287e-07	1.3700e-01
7.0786e-07	1.3800e-01
7.1272e-07	1.3900e-01
7.1619e-07	1.4000e-01
7.2089e-07	1.4100e-01
7.2474e-07	1.4200e-01
7.2916e-07	1.4300e-01
7.3345e-07	1.4400e-01
7.3793e-07	1.4500e-01
7.4065e-07	1.4600e-01
7.4709e-07	1.4700e-01
7.5014e-07	1.4800e-01
7.5389e-07	1.4900e-01
7.5913e-07	1.5000e-01
7.6414e-07	1.5100e-01
7.6841e-07	1.5200e-01
7.7335e-07	1.5300e-01
7.7792e-07	1.5400e-01
7.8299e-07	1.5500e-01
7.8657e-07	1.5600e-01
7.9126e-07	1.5700e-01
7.9520e-07	1.5800e-01
7.9951e-07	1.5900e-01
8.0259e-07	1.6000e-01
8.0749e-07	1.6100e-01
8.0983e-07	1.6200e-01
8.1429e-07	1.6300e-01
8.1776e-07	1.6400e-01
8.2245e-07	1.6500e-01
8.2715e-07	1.6600e-01
8.3157e-07	1.6700e-01
8.3395e-07	1.6800e-01
8.3761e-07	1.6900e-01
8.4274e-07	1.7000e-01
8.4660e-07	1.7100e-01
8.5110e-07	1.7200e-01
8.5461e-07	1.7300e-01
8.6021e-07	1.7400e-01
8.6522e-07	1.7500e-01
8.6752e-07	1.7600e-01
8.7162e-07	1.7700e-01
8.7486e-07	1.7800e-01
8.7907e-07	1.7900e-01
8.8389e-07	1.8000e-01
8.8736e-07	1.8100e-01
